proponent_agency,project_location,project_type,area_hectare,submission_date,approval_date,approval_status,eds_count,environmental_risk_score
EcoBuild Developers,Bilaspur,Infrastructure,7.22,2023-07-14,,Rejected,0,0.45
Green Earth Infrastructure,Kanker,Brick Kiln,14.34,2023-11-26,,MoM Generated,0,0.53
Shakti Infra Projects,Jagdalpur,Infrastructure,12.6,2023-10-10,,MoM Generated,3,0.67
ABC Mining Ltd,Ambikapur,Industrial Plant,12.88,2024-01-23,,Under Scrutiny,0,0.39
Riverbed Minerals Pvt,Rajnandgaon,Limestone Quarry,1.14,2024-05-20,,EDS,0,0.41
EcoStone Extractors,Rajnandgaon,Infrastructure,5.46,2023-05-18,2023-06-04,Approved,3,0.68
Mahanadi Sand Works,Ambikapur,Limestone Quarry,12.0,2024-05-27,2024-06-16,Approved,0,0.72
Raigarh Aggregates,Raigarh,Infrastructure,5.15,2023-04-08,,MoM Generated,1,0.66
ABC Mining Ltd,Korba,Brick Kiln,2.54,2023-06-28,,Under Scrutiny,1,0.48
ABC Mining Ltd,Bilaspur,Brick Kiln,3.5,2024-04-17,2024-08-15,Approved,2,0.68
Durg Construction Pvt Ltd,Bilaspur,Brick Kiln,12.61,2023-01-14,,Rejected,3,0.39
Green Earth Infrastructure,Jagdalpur,Infrastructure,2.03,2024-09-19,,MoM Generated,1,0.89
Green Earth Infrastructure,Ambikapur,Industrial Plant,7.67,2023-04-10,,Under Scrutiny,1,0.85
ABC Mining Ltd,Raigarh,Sand Mining,14.45,2024-02-28,,Rejected,3,0.31
Green Earth Infrastructure,Raipur,Limestone Quarry,11.22,2023-02-14,2023-04-04,Approved,3,0.24
EcoStone Extractors,Raigarh,Sand Mining,13.19,2023-12-09,,MoM Generated,2,0.89
EcoBuild Developers,Durg,Brick Kiln,13.58,2024-07-04,,EDS,2,0.74
Sunrise Quarry Co,Raigarh,Limestone Quarry,4.4,2024-01-03,2024-02-20,Approved,0,0.82
Central India Mining Co,Jagdalpur,Sand Mining,13.84,2023-10-08,2023-11-30,Approved,3,0.8
Shakti Infra Projects,Raipur,Infrastructure,6.36,2023-11-05,,MoM Generated,3,0.12
Durg Construction Pvt Ltd,Durg,Industrial Plant,3.64,2023-12-31,,MoM Generated,2,0.56
Durg Construction Pvt Ltd,Kanker,Limestone Quarry,7.04,2024-02-05,,EDS,0,0.5
EcoStone Extractors,Rajnandgaon,Sand Mining,1.45,2023-02-24,,Under Scrutiny,1,0.86
Chhattisgarh Infra Group,Jagdalpur,Industrial Plant,1.33,2023-05-18,,Referred,3,0.79
Riverbed Minerals Pvt,Raipur,Industrial Plant,11.53,2024-01-27,2024-04-17,Approved,3,0.14
Shakti Infra Projects,Jagdalpur,Brick Kiln,5.35,2024-01-15,,EDS,3,0.34
Central India Mining Co,Bilaspur,Brick Kiln,7.69,2023-12-26,,Referred,2,0.72
Green Earth Infrastructure,Raipur,Sand Mining,1.7,2024-03-13,,Under Scrutiny,0,0.16
Durg Construction Pvt Ltd,Kanker,Infrastructure,1.67,2023-08-23,,EDS,0,0.47
Chhattisgarh Infra Group,Kanker,Limestone Quarry,2.74,2024-04-23,,MoM Generated,3,0.35
Central India Mining Co,Ambikapur,Sand Mining,13.35,2023-11-11,,Rejected,2,0.7
EcoBuild Developers,Raigarh,Sand Mining,13.69,2023-06-11,,Referred,3,0.32
Chhattisgarh Infra Group,Durg,Sand Mining,10.81,2023-02-08,,Referred,2,0.18
Korba Limestone Corp,Raipur,Sand Mining,5.44,2024-10-18,,Under Scrutiny,3,0.39
Sunrise Quarry Co,Durg,Infrastructure,11.79,2023-12-26,,MoM Generated,2,0.21
Raigarh Aggregates,Ambikapur,Sand Mining,4.09,2023-09-25,,Under Scrutiny,1,0.12
Green Earth Infrastructure,Ambikapur,Brick Kiln,4.68,2023-07-18,2023-08-09,Approved,2,0.72
Sunrise Quarry Co,Kanker,Limestone Quarry,3.58,2024-08-13,,Under Scrutiny,0,0.83
Korba Limestone Corp,Jagdalpur,Limestone Quarry,2.1,2023-06-12,,Under Scrutiny,3,0.59
Korba Limestone Corp,Raipur,Brick Kiln,4.93,2024-07-16,,Under Scrutiny,3,0.57
Central India Mining Co,Bilaspur,Infrastructure,14.92,2023-10-12,2024-02-07,Approved,2,0.9
Central India Mining Co,Raipur,Infrastructure,5.4,2024-03-02,,Referred,1,0.58
Bastar Natural Resources,Raipur,Brick Kiln,12.92,2023-07-18,,Under Scrutiny,2,0.4
Bastar Natural Resources,Ambikapur,Industrial Plant,4.52,2024-09-15,2024-11-10,Approved,1,0.15
Central India Mining Co,Korba,Limestone Quarry,6.63,2023-08-05,,Referred,2,0.88
ABC Mining Ltd,Jagdalpur,Infrastructure,8.65,2024-01-13,,Rejected,3,0.85
Chhattisgarh Infra Group,Kanker,Industrial Plant,7.49,2024-06-15,,Rejected,1,0.56
ABC Mining Ltd,Ambikapur,Limestone Quarry,3.51,2024-09-08,,Under Scrutiny,1,0.15
Raigarh Aggregates,Durg,Sand Mining,4.42,2023-10-03,,Rejected,3,0.33
EcoBuild Developers,Korba,Limestone Quarry,1.26,2023-05-10,,Referred,3,0.44
EcoStone Extractors,Rajnandgaon,Limestone Quarry,6.67,2024-02-13,2024-04-26,Approved,3,0.76
EcoStone Extractors,Ambikapur,Infrastructure,13.78,2023-03-11,,Referred,0,0.16
Shiv Brick Industries,Rajnandgaon,Brick Kiln,4.87,2024-07-05,2024-09-21,Approved,0,0.82
Green Earth Infrastructure,Raipur,Infrastructure,8.96,2024-08-23,2024-11-20,Approved,2,0.14
EcoBuild Developers,Kanker,Infrastructure,8.12,2023-10-11,2023-12-12,Approved,1,0.18
Raigarh Aggregates,Raipur,Sand Mining,14.96,2023-01-24,2023-03-07,Approved,1,0.14
Korba Limestone Corp,Kanker,Infrastructure,10.97,2023-07-24,,EDS,0,0.81
Shiv Brick Industries,Durg,Brick Kiln,11.26,2023-05-10,,Referred,0,0.58
Green Earth Infrastructure,Kanker,Limestone Quarry,2.37,2024-06-06,,MoM Generated,1,0.11
Korba Limestone Corp,Ambikapur,Infrastructure,2.89,2023-07-19,,EDS,0,0.55
Durg Construction Pvt Ltd,Jagdalpur,Sand Mining,3.46,2023-03-29,,Referred,1,0.46
ABC Mining Ltd,Raigarh,Limestone Quarry,13.68,2024-10-24,,MoM Generated,2,0.84
Sunrise Quarry Co,Bilaspur,Brick Kiln,8.66,2023-05-24,,Under Scrutiny,3,0.19
Green Earth Infrastructure,Kanker,Sand Mining,2.44,2024-05-17,,EDS,2,0.13
Shakti Infra Projects,Raigarh,Brick Kiln,13.92,2024-05-21,,Referred,3,0.81
Mahanadi Sand Works,Ambikapur,Infrastructure,7.52,2023-01-10,,Referred,2,0.16
Sunrise Quarry Co,Ambikapur,Brick Kiln,13.12,2024-11-27,,Under Scrutiny,2,0.59
Durg Construction Pvt Ltd,Jagdalpur,Industrial Plant,2.19,2023-03-21,2023-05-28,Approved,2,0.75
Shakti Infra Projects,Raigarh,Limestone Quarry,13.21,2024-06-30,,Rejected,2,0.53
Shakti Infra Projects,Jagdalpur,Limestone Quarry,1.34,2024-06-10,2024-07-25,Approved,1,0.14
Mahanadi Sand Works,Kanker,Infrastructure,5.86,2024-01-22,,MoM Generated,1,0.53
Durg Construction Pvt Ltd,Korba,Infrastructure,5.95,2023-05-17,,EDS,2,0.87
Bastar Natural Resources,Bilaspur,Brick Kiln,6.62,2023-01-07,,MoM Generated,3,0.73
Bastar Natural Resources,Jagdalpur,Infrastructure,12.66,2024-02-27,,Rejected,2,0.87
Raigarh Aggregates,Raipur,Infrastructure,14.41,2023-08-01,2023-11-03,Approved,3,0.28
ABC Mining Ltd,Raigarh,Industrial Plant,13.79,2023-09-02,,Referred,2,0.48
EcoBuild Developers,Jagdalpur,Brick Kiln,1.18,2023-06-13,2023-08-07,Approved,2,0.51
Raigarh Aggregates,Raigarh,Sand Mining,8.31,2024-09-28,,Under Scrutiny,1,0.74
Durg Construction Pvt Ltd,Jagdalpur,Limestone Quarry,1.81,2024-04-18,,Under Scrutiny,0,0.16
EcoStone Extractors,Rajnandgaon,Industrial Plant,2.15,2024-09-24,,Under Scrutiny,3,0.11
Central India Mining Co,Raigarh,Limestone Quarry,3.72,2024-03-19,,Rejected,2,0.64
Mahanadi Sand Works,Jagdalpur,Limestone Quarry,6.99,2024-05-16,2024-07-11,Approved,0,0.61
Korba Limestone Corp,Kanker,Brick Kiln,13.46,2024-01-20,,EDS,1,0.39
Bastar Natural Resources,Jagdalpur,Infrastructure,14.84,2024-10-04,,EDS,0,0.27
Raigarh Aggregates,Kanker,Industrial Plant,4.75,2024-02-29,,Referred,1,0.85
Shakti Infra Projects,Rajnandgaon,Sand Mining,13.6,2023-01-06,,Rejected,3,0.54
Sunrise Quarry Co,Bilaspur,Industrial Plant,8.58,2023-09-21,,Under Scrutiny,1,0.79
Shiv Brick Industries,Jagdalpur,Industrial Plant,12.11,2023-05-20,,MoM Generated,3,0.38
Riverbed Minerals Pvt,Durg,Limestone Quarry,2.51,2024-03-10,,EDS,2,0.25
Central India Mining Co,Raipur,Limestone Quarry,11.5,2024-02-03,,Rejected,3,0.26
Sunrise Quarry Co,Raigarh,Infrastructure,3.08,2023-05-01,,EDS,0,0.57
Central India Mining Co,Bilaspur,Brick Kiln,5.7,2023-01-08,,MoM Generated,1,0.86
Raigarh Aggregates,Bilaspur,Sand Mining,14.57,2023-03-01,,EDS,3,0.63
Central India Mining Co,Jagdalpur,Industrial Plant,4.54,2024-10-11,,EDS,1,0.64
Chhattisgarh Infra Group,Jagdalpur,Industrial Plant,3.6,2023-09-14,,MoM Generated,0,0.28
Shakti Infra Projects,Rajnandgaon,Brick Kiln,11.45,2023-10-04,,Rejected,1,0.33
Green Earth Infrastructure,Raipur,Limestone Quarry,4.64,2024-09-12,2024-10-10,Approved,0,0.65
ABC Mining Ltd,Korba,Infrastructure,7.26,2023-10-21,,MoM Generated,1,0.72
EcoBuild Developers,Raigarh,Brick Kiln,13.55,2024-08-23,2024-12-03,Approved,0,0.66
Mahanadi Sand Works,Durg,Infrastructure,2.4,2024-02-02,,EDS,3,0.59
Raigarh Aggregates,Korba,Infrastructure,14.04,2024-02-17,,Rejected,0,0.14
Shiv Brick Industries,Korba,Limestone Quarry,3.4,2024-08-08,,MoM Generated,2,0.7
Mahanadi Sand Works,Raigarh,Brick Kiln,11.38,2024-09-01,,Rejected,0,0.49
Chhattisgarh Infra Group,Bilaspur,Sand Mining,12.61,2024-09-19,,EDS,0,0.25
Korba Limestone Corp,Rajnandgaon,Sand Mining,9.64,2023-08-27,,Rejected,1,0.19
Riverbed Minerals Pvt,Durg,Sand Mining,4.17,2023-06-14,,Under Scrutiny,2,0.3
Mahanadi Sand Works,Durg,Brick Kiln,12.92,2023-07-28,,MoM Generated,1,0.13
Green Earth Infrastructure,Raigarh,Infrastructure,2.5,2024-02-06,2024-06-03,Approved,3,0.23
Chhattisgarh Infra Group,Durg,Sand Mining,4.57,2023-10-02,,MoM Generated,0,0.24
Shakti Infra Projects,Korba,Brick Kiln,12.25,2024-01-24,,EDS,1,0.16
Bastar Natural Resources,Raipur,Brick Kiln,12.22,2024-12-01,2025-01-23,Approved,2,0.71
EcoStone Extractors,Bilaspur,Industrial Plant,13.07,2023-06-08,,MoM Generated,3,0.8
ABC Mining Ltd,Kanker,Industrial Plant,5.01,2024-08-13,,Referred,0,0.58
Green Earth Infrastructure,Jagdalpur,Limestone Quarry,12.95,2023-03-05,2023-05-19,Approved,3,0.72
Mahanadi Sand Works,Kanker,Limestone Quarry,13.28,2024-05-24,,EDS,3,0.27
Mahanadi Sand Works,Bilaspur,Infrastructure,2.65,2023-10-25,,EDS,3,0.2
Korba Limestone Corp,Kanker,Sand Mining,2.19,2024-04-07,2024-07-17,Approved,0,0.87
Bastar Natural Resources,Raigarh,Limestone Quarry,10.11,2023-05-12,,Referred,2,0.42
Mahanadi Sand Works,Korba,Industrial Plant,10.27,2024-01-20,,Rejected,3,0.54
Chhattisgarh Infra Group,Durg,Infrastructure,13.15,2023-05-02,,Under Scrutiny,1,0.64
Shakti Infra Projects,Raigarh,Industrial Plant,7.9,2024-10-09,,MoM Generated,3,0.12
Korba Limestone Corp,Korba,Brick Kiln,14.53,2024-05-06,,Under Scrutiny,3,0.44
EcoBuild Developers,Durg,Industrial Plant,3.91,2023-03-26,,MoM Generated,3,0.55
EcoBuild Developers,Raigarh,Brick Kiln,9.09,2024-06-08,,EDS,0,0.9
EcoStone Extractors,Kanker,Sand Mining,14.14,2023-01-14,2023-05-08,Approved,0,0.78
Shiv Brick Industries,Ambikapur,Brick Kiln,14.94,2023-03-28,,MoM Generated,0,0.2
Bastar Natural Resources,Raipur,Brick Kiln,4.11,2023-10-26,,EDS,1,0.85
Raigarh Aggregates,Raipur,Sand Mining,13.98,2024-06-16,,EDS,1,0.49
Sunrise Quarry Co,Durg,Industrial Plant,6.92,2024-06-14,,Under Scrutiny,0,0.15
EcoBuild Developers,Raigarh,Brick Kiln,8.98,2024-02-12,2024-03-07,Approved,1,0.38
Korba Limestone Corp,Korba,Limestone Quarry,14.84,2023-07-12,2023-10-24,Approved,2,0.72
Green Earth Infrastructure,Jagdalpur,Sand Mining,6.27,2023-07-02,,Under Scrutiny,3,0.32
Durg Construction Pvt Ltd,Durg,Brick Kiln,7.5,2023-06-14,,Under Scrutiny,2,0.64
ABC Mining Ltd,Ambikapur,Brick Kiln,8.88,2024-09-11,,Rejected,2,0.53
Green Earth Infrastructure,Ambikapur,Sand Mining,14.71,2023-04-26,2023-08-19,Approved,2,0.59
Riverbed Minerals Pvt,Ambikapur,Sand Mining,11.77,2023-05-26,,EDS,0,0.85
Durg Construction Pvt Ltd,Kanker,Brick Kiln,10.53,2023-09-01,,MoM Generated,3,0.29
Shakti Infra Projects,Korba,Brick Kiln,13.49,2024-05-10,,Rejected,0,0.88
Korba Limestone Corp,Durg,Limestone Quarry,12.43,2024-10-31,,Referred,3,0.3
Green Earth Infrastructure,Kanker,Infrastructure,7.8,2023-01-02,,MoM Generated,2,0.34
Bastar Natural Resources,Rajnandgaon,Industrial Plant,1.13,2023-05-04,,Under Scrutiny,0,0.21
Sunrise Quarry Co,Jagdalpur,Infrastructure,10.83,2023-02-23,,MoM Generated,3,0.87
Shakti Infra Projects,Raigarh,Infrastructure,13.45,2024-05-31,2024-06-28,Approved,1,0.67
Raigarh Aggregates,Kanker,Infrastructure,14.83,2024-05-20,,MoM Generated,2,0.66
Sunrise Quarry Co,Ambikapur,Industrial Plant,9.66,2024-09-26,,Referred,3,0.39
Riverbed Minerals Pvt,Durg,Limestone Quarry,13.17,2023-02-04,2023-05-04,Approved,3,0.58
Shiv Brick Industries,Kanker,Industrial Plant,8.35,2024-01-20,,Referred,1,0.76
Sunrise Quarry Co,Durg,Sand Mining,8.5,2023-08-17,,Under Scrutiny,2,0.34
EcoStone Extractors,Bilaspur,Industrial Plant,12.48,2023-01-20,,Rejected,0,0.23
Korba Limestone Corp,Jagdalpur,Industrial Plant,5.07,2023-04-08,,Referred,0,0.15
Chhattisgarh Infra Group,Kanker,Sand Mining,7.09,2023-03-19,,EDS,1,0.53
Mahanadi Sand Works,Korba,Industrial Plant,9.79,2023-09-09,,Under Scrutiny,2,0.44
Durg Construction Pvt Ltd,Kanker,Infrastructure,13.67,2023-06-15,,Rejected,0,0.53
Shiv Brick Industries,Bilaspur,Limestone Quarry,12.42,2024-09-29,,Rejected,2,0.59
Mahanadi Sand Works,Bilaspur,Limestone Quarry,6.65,2023-12-05,,Under Scrutiny,2,0.35
Shakti Infra Projects,Durg,Brick Kiln,12.19,2023-12-18,,MoM Generated,3,0.16
Central India Mining Co,Ambikapur,Infrastructure,1.1,2024-04-01,2024-07-26,Approved,1,0.29
Bastar Natural Resources,Jagdalpur,Infrastructure,4.7,2023-11-21,,Referred,0,0.65
Korba Limestone Corp,Durg,Brick Kiln,11.71,2024-01-16,2024-03-20,Approved,2,0.3
Green Earth Infrastructure,Bilaspur,Brick Kiln,7.92,2023-11-15,,MoM Generated,1,0.37
Shakti Infra Projects,Ambikapur,Industrial Plant,7.11,2023-09-10,,MoM Generated,0,0.8
Shiv Brick Industries,Raipur,Limestone Quarry,2.76,2023-10-13,,Under Scrutiny,2,0.52
Raigarh Aggregates,Bilaspur,Infrastructure,1.46,2023-07-30,,Rejected,2,0.2
Mahanadi Sand Works,Raigarh,Brick Kiln,9.79,2024-05-15,,Referred,0,0.34
Mahanadi Sand Works,Raipur,Brick Kiln,3.58,2023-09-11,,Referred,1,0.31
Shiv Brick Industries,Ambikapur,Sand Mining,1.71,2023-03-03,,Referred,3,0.18
Korba Limestone Corp,Ambikapur,Sand Mining,13.07,2023-09-12,,EDS,0,0.69
Green Earth Infrastructure,Raigarh,Infrastructure,14.9,2023-06-11,,Rejected,0,0.26
ABC Mining Ltd,Bilaspur,Sand Mining,3.63,2024-05-09,2024-08-14,Approved,1,0.88
Korba Limestone Corp,Durg,Limestone Quarry,10.22,2023-10-25,,EDS,0,0.66
Durg Construction Pvt Ltd,Bilaspur,Infrastructure,14.53,2024-03-24,,Rejected,1,0.28
Korba Limestone Corp,Rajnandgaon,Brick Kiln,12.37,2024-05-03,2024-06-16,Approved,2,0.9
Riverbed Minerals Pvt,Kanker,Infrastructure,5.15,2024-05-03,,Rejected,2,0.2
Durg Construction Pvt Ltd,Rajnandgaon,Infrastructure,11.27,2024-11-04,2025-02-01,Approved,2,0.67
Riverbed Minerals Pvt,Jagdalpur,Limestone Quarry,2.57,2024-04-08,,MoM Generated,3,0.23
Chhattisgarh Infra Group,Bilaspur,Brick Kiln,7.87,2024-02-08,,EDS,0,0.44
Central India Mining Co,Ambikapur,Infrastructure,9.01,2023-10-25,2023-11-09,Approved,3,0.86
EcoBuild Developers,Bilaspur,Infrastructure,9.55,2023-03-02,,Referred,2,0.43
Shakti Infra Projects,Rajnandgaon,Industrial Plant,7.67,2023-06-26,,MoM Generated,0,0.64
ABC Mining Ltd,Durg,Brick Kiln,10.08,2024-03-16,,Under Scrutiny,3,0.59
Central India Mining Co,Kanker,Infrastructure,2.12,2024-07-09,,Referred,3,0.15
Durg Construction Pvt Ltd,Kanker,Sand Mining,11.23,2024-04-16,,Rejected,0,0.88
ABC Mining Ltd,Korba,Industrial Plant,2.86,2024-08-28,,MoM Generated,0,0.43
Durg Construction Pvt Ltd,Bilaspur,Limestone Quarry,12.38,2024-07-25,,Referred,1,0.8
Shakti Infra Projects,Kanker,Limestone Quarry,2.68,2023-04-13,2023-06-02,Approved,0,0.26
Riverbed Minerals Pvt,Rajnandgaon,Limestone Quarry,5.51,2024-05-10,2024-09-05,Approved,1,0.69
Mahanadi Sand Works,Durg,Limestone Quarry,11.86,2024-09-18,,Referred,3,0.47
Green Earth Infrastructure,Durg,Industrial Plant,3.11,2024-02-06,,MoM Generated,0,0.67
Raigarh Aggregates,Rajnandgaon,Sand Mining,12.09,2023-05-20,,Referred,0,0.15
Chhattisgarh Infra Group,Jagdalpur,Industrial Plant,12.67,2023-11-10,,Rejected,0,0.21
Sunrise Quarry Co,Ambikapur,Brick Kiln,7.22,2023-10-24,,EDS,1,0.48
Green Earth Infrastructure,Kanker,Brick Kiln,12.07,2024-09-11,,EDS,0,0.51
EcoStone Extractors,Korba,Limestone Quarry,14.33,2024-06-30,,Under Scrutiny,1,0.28
Central India Mining Co,Bilaspur,Limestone Quarry,11.04,2023-10-18,,Referred,1,0.59
Sunrise Quarry Co,Jagdalpur,Limestone Quarry,5.59,2023-08-25,,MoM Generated,2,0.12
ABC Mining Ltd,Jagdalpur,Infrastructure,12.4,2023-04-01,,EDS,1,0.83
Central India Mining Co,Rajnandgaon,Brick Kiln,14.99,2024-03-13,2024-04-17,Approved,1,0.61
ABC Mining Ltd,Raigarh,Sand Mining,3.04,2023-08-15,2023-10-09,Approved,1,0.43
Bastar Natural Resources,Kanker,Infrastructure,9.46,2024-08-01,,EDS,1,0.19
Bastar Natural Resources,Kanker,Limestone Quarry,11.14,2024-08-04,,MoM Generated,2,0.7
EcoStone Extractors,Rajnandgaon,Brick Kiln,8.1,2023-12-30,,EDS,1,0.46
Chhattisgarh Infra Group,Rajnandgaon,Infrastructure,4.54,2023-05-27,,MoM Generated,0,0.53
Bastar Natural Resources,Kanker,Brick Kiln,10.46,2024-06-10,,MoM Generated,0,0.56
Bastar Natural Resources,Korba,Brick Kiln,10.46,2024-08-14,,Under Scrutiny,0,0.86
Sunrise Quarry Co,Raipur,Brick Kiln,13.77,2023-09-01,,Under Scrutiny,2,0.11
Chhattisgarh Infra Group,Jagdalpur,Limestone Quarry,3.43,2024-10-01,,Referred,3,0.62
EcoBuild Developers,Bilaspur,Industrial Plant,12.78,2024-11-11,,Referred,3,0.16
Durg Construction Pvt Ltd,Ambikapur,Sand Mining,10.66,2023-08-02,,Under Scrutiny,3,0.28
Bastar Natural Resources,Rajnandgaon,Limestone Quarry,5.91,2023-01-27,,EDS,1,0.36
Raigarh Aggregates,Ambikapur,Limestone Quarry,10.57,2023-04-27,,EDS,2,0.72
EcoStone Extractors,Raipur,Brick Kiln,3.98,2024-07-31,,EDS,3,0.86
Central India Mining Co,Rajnandgaon,Infrastructure,4.37,2024-05-10,,Referred,0,0.36
Shiv Brick Industries,Bilaspur,Industrial Plant,11.42,2023-08-13,2023-10-06,Approved,2,0.86
Korba Limestone Corp,Jagdalpur,Industrial Plant,5.81,2023-09-09,2023-11-08,Approved,2,0.23
Bastar Natural Resources,Raigarh,Limestone Quarry,2.92,2024-10-03,,Referred,0,0.46
Durg Construction Pvt Ltd,Bilaspur,Infrastructure,8.69,2024-10-22,,MoM Generated,3,0.72
Shiv Brick Industries,Ambikapur,Infrastructure,3.38,2024-04-17,,EDS,0,0.38
EcoBuild Developers,Ambikapur,Industrial Plant,2.38,2024-09-28,2024-10-29,Approved,1,0.41
Mahanadi Sand Works,Jagdalpur,Brick Kiln,5.94,2023-05-02,,Rejected,2,0.31
Chhattisgarh Infra Group,Korba,Brick Kiln,9.93,2023-05-14,,MoM Generated,0,0.52
Chhattisgarh Infra Group,Ambikapur,Sand Mining,14.38,2023-11-05,,Rejected,3,0.54
Riverbed Minerals Pvt,Rajnandgaon,Limestone Quarry,14.98,2024-11-19,,Rejected,3,0.28
Bastar Natural Resources,Durg,Brick Kiln,10.9,2023-04-05,,Rejected,1,0.68
Sunrise Quarry Co,Rajnandgaon,Sand Mining,5.1,2023-09-25,,Under Scrutiny,1,0.33
Chhattisgarh Infra Group,Raigarh,Limestone Quarry,13.56,2023-07-20,2023-09-26,Approved,1,0.4
Riverbed Minerals Pvt,Ambikapur,Infrastructure,1.91,2024-01-20,,MoM Generated,3,0.88
EcoStone Extractors,Kanker,Infrastructure,12.31,2023-01-13,,Rejected,0,0.82
Chhattisgarh Infra Group,Ambikapur,Industrial Plant,13.46,2023-04-28,,MoM Generated,0,0.37
Mahanadi Sand Works,Raipur,Infrastructure,7.14,2023-12-02,2024-02-14,Approved,2,0.78
EcoBuild Developers,Durg,Infrastructure,11.9,2023-09-04,,MoM Generated,2,0.35
Shiv Brick Industries,Kanker,Sand Mining,3.88,2024-10-11,,EDS,2,0.3
EcoStone Extractors,Ambikapur,Infrastructure,7.07,2024-08-04,,MoM Generated,2,0.75
Shiv Brick Industries,Raigarh,Industrial Plant,7.14,2023-02-12,,Referred,3,0.24
Raigarh Aggregates,Durg,Brick Kiln,2.25,2024-05-21,,MoM Generated,3,0.69
Korba Limestone Corp,Rajnandgaon,Brick Kiln,11.96,2023-10-21,,Referred,2,0.2
Bastar Natural Resources,Jagdalpur,Infrastructure,12.64,2024-06-23,,Rejected,1,0.48
EcoStone Extractors,Kanker,Industrial Plant,13.9,2023-09-24,,Referred,0,0.67
EcoStone Extractors,Jagdalpur,Infrastructure,14.91,2023-08-04,,Under Scrutiny,2,0.31
EcoBuild Developers,Korba,Infrastructure,10.42,2023-01-25,2023-05-04,Approved,1,0.6
Chhattisgarh Infra Group,Rajnandgaon,Brick Kiln,5.01,2023-05-09,,Rejected,1,0.52
Chhattisgarh Infra Group,Kanker,Limestone Quarry,6.61,2023-09-03,,MoM Generated,0,0.3
Central India Mining Co,Ambikapur,Brick Kiln,2.01,2024-03-20,,Rejected,0,0.84
Shiv Brick Industries,Korba,Infrastructure,6.6,2023-12-21,,MoM Generated,3,0.51
Chhattisgarh Infra Group,Bilaspur,Sand Mining,3.32,2024-09-08,,Rejected,0,0.81
Mahanadi Sand Works,Jagdalpur,Brick Kiln,8.08,2024-09-01,,MoM Generated,2,0.48
Mahanadi Sand Works,Ambikapur,Industrial Plant,5.15,2023-08-10,2023-10-30,Approved,3,0.86
Sunrise Quarry Co,Kanker,Infrastructure,4.41,2023-01-14,,Under Scrutiny,0,0.81
Riverbed Minerals Pvt,Rajnandgaon,Brick Kiln,12.49,2023-01-24,,MoM Generated,2,0.41
Raigarh Aggregates,Korba,Industrial Plant,11.7,2023-04-03,,Under Scrutiny,1,0.46
Chhattisgarh Infra Group,Bilaspur,Infrastructure,8.14,2024-10-21,2025-02-06,Approved,0,0.26
Korba Limestone Corp,Kanker,Limestone Quarry,10.61,2023-07-06,,Rejected,1,0.75
EcoBuild Developers,Bilaspur,Brick Kiln,8.52,2024-08-26,2024-09-17,Approved,0,0.45
Shakti Infra Projects,Kanker,Brick Kiln,8.37,2023-05-03,,MoM Generated,0,0.69
Korba Limestone Corp,Raigarh,Industrial Plant,4.27,2024-02-16,2024-04-21,Approved,1,0.62
Green Earth Infrastructure,Raigarh,Industrial Plant,14.6,2023-06-15,,Under Scrutiny,1,0.59
ABC Mining Ltd,Raipur,Limestone Quarry,10.17,2023-10-21,,Rejected,1,0.42
Sunrise Quarry Co,Raigarh,Sand Mining,11.66,2023-03-30,,Under Scrutiny,0,0.16
Raigarh Aggregates,Jagdalpur,Industrial Plant,13.59,2023-10-13,,MoM Generated,0,0.52
Riverbed Minerals Pvt,Raigarh,Brick Kiln,1.63,2024-07-20,,MoM Generated,1,0.5
Shakti Infra Projects,Bilaspur,Industrial Plant,4.59,2023-08-01,,MoM Generated,3,0.41
Korba Limestone Corp,Raigarh,Industrial Plant,11.75,2024-06-22,,Rejected,3,0.83
Central India Mining Co,Raipur,Limestone Quarry,5.87,2023-10-03,2023-11-30,Approved,3,0.74
Chhattisgarh Infra Group,Jagdalpur,Limestone Quarry,7.53,2024-08-07,,MoM Generated,0,0.64
Shiv Brick Industries,Kanker,Sand Mining,1.03,2023-09-20,,MoM Generated,2,0.21
Shiv Brick Industries,Bilaspur,Infrastructure,3.87,2024-06-12,,Referred,3,0.17
Sunrise Quarry Co,Rajnandgaon,Infrastructure,5.65,2024-07-27,2024-08-24,Approved,0,0.4
Raigarh Aggregates,Rajnandgaon,Industrial Plant,7.09,2024-08-21,,Under Scrutiny,1,0.7
Shakti Infra Projects,Kanker,Industrial Plant,13.74,2023-08-29,,Referred,0,0.13
Shakti Infra Projects,Bilaspur,Limestone Quarry,2.0,2024-07-25,,MoM Generated,1,0.5
Bastar Natural Resources,Jagdalpur,Limestone Quarry,8.68,2023-07-20,,EDS,3,0.38
Central India Mining Co,Jagdalpur,Limestone Quarry,4.82,2024-09-25,,Under Scrutiny,2,0.27
Shakti Infra Projects,Raigarh,Brick Kiln,2.82,2024-02-07,,EDS,2,0.58
Korba Limestone Corp,Korba,Brick Kiln,9.16,2023-01-11,,MoM Generated,1,0.16
Korba Limestone Corp,Bilaspur,Infrastructure,8.48,2024-06-05,,Rejected,3,0.25
Mahanadi Sand Works,Jagdalpur,Infrastructure,11.26,2024-09-21,,MoM Generated,1,0.52
Mahanadi Sand Works,Kanker,Industrial Plant,14.38,2023-12-29,,Under Scrutiny,1,0.77
